maHoaDon,maKhachHang,maVe,giaVe,giaSauGiam
HD001,KH001,VE001,1.000.000,800.000
HD001,KH001,VE002,1.000.000,800.000
HD002,KH002,VE003,1.500.000,1.500.000
HD003,KH003,VE004,1.000.000,850.000
HD003,KH003,VE005,1.000.000,850.000
HD003,KH003,VE006,1.000.000,850.000
HD004,KH004,VE007,1.200.000,1.200.000
HD005,KH005,VE008,1.000.000,900.000
HD006,KH006,VE009,900.000,675.000
HD007,KH007,VE010,1.000.000,1.000.000
HD008,KH008,VE011,1.000.000,950.000
HD009,KH009,VE012,800.000,800.000
HD010,KH010,VE013,800.000,640.000
