maChuyenBay,maMayBay,maHangHangKhong,maSanBayDi,maSanBayDen,ngayBay,tongSoVe,soVeDaBan,soVeConLai,tienVeThuVe
CB001,MB02,VJ,HAN,CXR,2024-06-01,170,2,168,1600000
CB002,MB03,QH,DAD,HUI,2024-06-02,190,1,189,1500000
CB003,MB04,VU,PQC,VII,2024-06-03,210,3,207,2550000
CB004,MB05,VN,CXR,SGN,2024-06-04,230,1,229,1200000
CB005,MB01,VJ,HUI,HAN,2024-06-05,150,4,146,3600000
CB006,MB02,QH,VII,DAD,2024-06-06,170,2,168,1350000
CB007,MB03,VU,SGN,PQC,2024-06-07,190,1,189,1000000
CB008,MB04,VN,HAN,CXR,2024-06-08,210,5,205,4750000
CB009,MB05,VJ,DAD,HUI,2024-06-09,230,1,229,800000
CB010,MB01,QH,PQC,VII,2024-06-10,150,3,147,1920000
CB011,MB02,VU,CXR,SGN,2024-06-11,170,4,166,2560000
CB012,MB03,VN,HUI,HAN,2024-06-12,190,4,186,2720000
CB013,MB04,VJ,VII,DAD,2024-06-13,210,2,208,1600000
CB014,MB05,QH,SGN,PQC,2024-06-14,230,2,228,1440000
CB015,MB01,VU,HAN,CXR,2024-06-15,150,3,147,2400000
CB016,MB02,VN,DAD,HUI,2024-06-16,170,3,167,4275000
CB017,MB03,VJ,PQC,VII,2024-06-17,190,4,186,2400000
CB018,MB04,QH,CXR,SGN,2024-06-18,210,3,207,4500000
CB019,MB05,VU,HUI,HAN,2024-06-19,230,2,228,2000000
CB020,MB01,VN,VII,DAD,2024-06-20,150,3,147,2880000
