maHoaDon,maKhachHang,tongSoVeDat,tongTienVe,maChuyenBay,ngayDat,maKhuyenMai,giaSauKhiGiam,ghiChu
HD001,KH001,2,2000000,CB001,2024-05-10,CTKM001,1600000,""
HD002,KH002,1,1500000,CB002,2024-05-11,,1500000,"Khách hàng mới"
HD003,KH003,3,3000000,CB003,2024-05-12,CTKM002,2550000,""
HD004,KH004,1,1200000,CB004,2024-05-13,,1200000,""
HD005,KH005,4,4000000,CB005,2024-05-14,CTKM003,3600000,"Nhóm gia đình"
HD006,KH006,2,1800000,CB006,2024-05-15,CTKM004,1350000,"Sinh viên"
HD007,KH007,1,1000000,CB007,2024-05-16,,1000000,""
HD008,KH008,5,5000000,CB008,2024-05-17,CTKM005,4750000,"Nhóm du lịch"
HD009,KH009,1,800000,CB009,2024-05-18,,800000,""
HD010,KH010,3,2400000,CB010,2024-05-19,CTKM001,1920000,""
